channel,Facebook,Instagram,Twitter,Link
People's Daily,People's Daily,peoples_daily),PDChina,
Vox,Vox,voxdotcom),voxdotcom,
CNN,CNN,cnn),cnnbrk,
The Guardian,The Guardian,guardian),guardian,
Times now,TIMES NOW,timesnow),TimesNow,
The sun News,Sun News Tamil,thesun),TheSun,
Newsday,Newsday,newsday),Newsday,
New York Daily news,New York Daily News,nydailynews),NYDailyNews,
The Boston Globe,The Boston Globe,bostonglobe),BostonGlobe,
The Wall Street Journal ,The Wall Street Journal,wsj),WSJ,
Daily Mail Online,Daily Mail,dailymail),MailOnline,
China Daily,China Daily,chinadailynews),ChinaDaily,
The Independent,The Independent,the.independent),Independent,
New York Post,New York Post,nypost),nypost,
The Washington Post,Washington Post,washingtonpost),washingtonpost,
The Sydney Morning Herald,The Sydney Morning Herald,sydneymorningherald),smh,
The Australian,The Australian,the.australian),australian,
Hindustan Times,Hindustan Times - Home,hindustantimes),htTweets,
The Indian Express,Indian Express,indianexpress),IndianExpress,
South Florida Sun Sentinel,South Florida Sun Sentinel,sunsentinel),southflorida,
The Hindu,The Hindu,the_hindu),the_hindu,
The New York Times,The New York Times,nytimes),nytimes,
Bloomberg,Bloomberg,bloombergbusiness),business,
Associated press news,AP,apnews),AP,
c-span,C-SPAN,cspan),cspan,
the bureau of investigate journalism,thebureauinvestigates,thebureauinvestigates),TBIJ,
The christian Science Monitor,The Christian Science Monitor,csmonitor),csmonitor,
The Economist,The Economist,theeconomist),TheEconomist,
BBC,BBC,bbcnews),BBCWorld,
NPR ,NPR,npr),NPR,
ProPublica,ProPublica,propublica),propublica,
Reuters,Reuters,reuters),Reuters,
USA Today,usatoday,usatoday),USATODAY,
times of india,TimesofIndia,timesofindia),timesofindia,
NDTV,NDTV,ndtv),ndtv,
Republic,RepublicWorld,republicworld),republic,
DDnews,DDNews,ddnews_official),DDNewslive,
Fox news,FoxNews,foxnews),FoxNews,
Doordarshan National,DoordarshanNational,ddnational),DDNational,
Politico,POLITICO,politico),politico,
The New Yorker,newyorker,newyorkermag),NewYorker,
The Atlantic,TheAtlantic,theatlantic),TheAtlantic,
Financial Times,,,,
NBC News,,,,
ABC News,,,,
CBS News,,,,
Sky News,,,,
The Globe and Mail,,,,
National Post,,,,
Voice of America,,,,
The Diplomat,,,,
Eurasianet,,,,
Africanews,,,,
The Japan Times,,,,
Gulf News,,,,
Times of Oman,,,,
Deccan Chronicle,,,,
The Telegraph India,,,,
The Statesman,,,,
The Economics Times,,,,
The New Indian Express,,,,
Mumbai Mirror,,,,
DNA India,,,,
Business Standard,,,,
The Deccan Herald,,,,
The Tribune India,,,,
